id,respuesta,servicio_monitoreado,reportada,time_log
1,1,sensorVigilant1,0,2022-09-11 22:05:13.813303
2,1,sensorVigilant1,0,2022-09-11 22:05:14.951381
3,1,sensorVigilant1,0,2022-09-11 22:05:16.104378
4,0,SensorVigilant1,1,2022-09-11 22:05:17.236749
5,1,sensorVigilant1,0,2022-09-11 22:05:18.357442
6,1,sensorVigilant1,0,2022-09-11 22:05:19.479788
7,0,SensorVigilant1,1,2022-09-11 22:05:20.625369
8,1,sensorVigilant1,0,2022-09-11 22:05:21.758176
9,0,SensorVigilant1,1,2022-09-11 22:05:22.904303
10,1,sensorVigilant1,0,2022-09-11 22:05:24.047397
11,1,sensorVigilant1,0,2022-09-11 22:05:25.193113
12,1,sensorVigilant1,0,2022-09-11 22:05:26.352154
13,1,sensorVigilant1,0,2022-09-11 22:05:27.524469
14,0,SensorVigilant1,1,2022-09-11 22:05:28.669464
15,1,sensorVigilant1,0,2022-09-11 22:05:29.842265
16,1,sensorVigilant1,0,2022-09-11 22:05:30.981060
17,1,sensorVigilant1,0,2022-09-11 22:05:32.126011
18,1,sensorVigilant1,0,2022-09-11 22:05:33.236243
19,1,sensorVigilant1,0,2022-09-11 22:05:34.474574
20,1,sensorVigilant1,0,2022-09-11 22:05:35.592485
21,1,sensorVigilant1,0,2022-09-11 22:05:36.715246
22,1,sensorVigilant1,0,2022-09-11 22:05:37.847331
23,1,sensorVigilant1,0,2022-09-11 22:05:38.979973
24,1,sensorVigilant1,0,2022-09-11 22:05:40.114377
25,1,sensorVigilant1,0,2022-09-11 22:05:41.252542
26,1,sensorVigilant1,0,2022-09-11 22:05:42.403523
27,1,sensorVigilant1,0,2022-09-11 22:05:43.525507
28,1,sensorVigilant1,0,2022-09-11 22:05:44.637195
29,1,sensorVigilant1,0,2022-09-11 22:05:45.814727
30,1,sensorVigilant1,0,2022-09-11 22:05:46.948027
31,1,sensorVigilant1,0,2022-09-11 22:05:48.092678
32,1,sensorVigilant1,0,2022-09-11 22:05:49.225742
33,0,SensorVigilant1,1,2022-09-11 22:05:50.403667
34,1,sensorVigilant1,0,2022-09-11 22:05:51.538207
35,1,sensorVigilant1,0,2022-09-11 22:05:52.659437
36,1,sensorVigilant1,0,2022-09-11 22:05:53.781397
37,0,SensorVigilant1,1,2022-09-11 22:05:54.904461
38,1,sensorVigilant1,0,2022-09-11 22:05:56.048820
39,0,SensorVigilant1,1,2022-09-11 22:05:57.170104
40,1,sensorVigilant1,0,2022-09-11 22:05:58.315415
41,1,sensorVigilant1,0,2022-09-11 22:05:59.504349
42,1,sensorVigilant1,0,2022-09-11 22:06:00.643175
43,0,SensorVigilant1,1,2022-09-11 22:06:01.771514
44,1,sensorVigilant1,0,2022-09-11 22:06:02.904912
45,1,sensorVigilant1,0,2022-09-11 22:06:04.027758
46,1,sensorVigilant1,0,2022-09-11 22:06:05.165118
47,1,sensorVigilant1,0,2022-09-11 22:06:06.294278
48,1,sensorVigilant1,0,2022-09-11 22:06:07.453540
49,0,SensorVigilant1,1,2022-09-11 22:06:08.582371
50,1,sensorVigilant1,0,2022-09-11 22:06:09.709248
51,0,SensorVigilant1,1,2022-09-11 22:06:10.827557
52,1,sensorVigilant1,0,2022-09-11 22:06:11.965843
53,1,sensorVigilant1,0,2022-09-11 22:06:13.104464
54,0,SensorVigilant1,1,2022-09-11 22:06:14.430877
55,1,sensorVigilant1,0,2022-09-11 22:06:15.547832
56,1,sensorVigilant1,0,2022-09-11 22:06:16.691300
57,1,sensorVigilant1,0,2022-09-11 22:06:17.827020
58,1,sensorVigilant1,0,2022-09-11 22:06:18.948445
59,1,sensorVigilant1,0,2022-09-11 22:06:20.086485
60,1,sensorVigilant1,0,2022-09-11 22:06:21.225702
61,1,sensorVigilant1,0,2022-09-11 22:06:22.349885
62,1,sensorVigilant1,0,2022-09-11 22:06:23.494196
63,1,sensorVigilant1,0,2022-09-11 22:06:24.673052
64,0,SensorVigilant1,1,2022-09-11 22:06:25.842155
65,1,sensorVigilant1,0,2022-09-11 22:06:26.959019
66,1,sensorVigilant1,0,2022-09-11 22:06:28.070685
67,1,sensorVigilant1,0,2022-09-11 22:06:29.214964
68,1,sensorVigilant1,0,2022-09-11 22:06:30.338347
69,1,sensorVigilant1,0,2022-09-11 22:06:31.470386
70,0,SensorVigilant1,1,2022-09-11 22:06:32.604440
71,1,sensorVigilant1,0,2022-09-11 22:06:33.766413
72,1,sensorVigilant1,0,2022-09-11 22:06:34.981708
73,1,sensorVigilant1,0,2022-09-11 22:06:36.110125
74,1,sensorVigilant1,0,2022-09-11 22:06:37.238912
75,1,sensorVigilant1,0,2022-09-11 22:06:38.404187
76,1,sensorVigilant1,0,2022-09-11 22:06:39.563120
77,1,sensorVigilant1,0,2022-09-11 22:06:40.693140
78,0,SensorVigilant1,1,2022-09-11 22:06:41.815258
79,1,sensorVigilant1,0,2022-09-11 22:06:42.940113
80,1,sensorVigilant1,0,2022-09-11 22:06:44.071741
81,1,sensorVigilant1,0,2022-09-11 22:06:45.244780
82,1,sensorVigilant1,0,2022-09-11 22:06:46.374473
83,1,sensorVigilant1,0,2022-09-11 22:06:47.471918
84,1,sensorVigilant1,0,2022-09-11 22:06:48.604286
85,0,SensorVigilant1,1,2022-09-11 22:06:49.727801
86,0,SensorVigilant1,1,2022-09-11 22:06:50.838056
87,1,sensorVigilant1,0,2022-09-11 22:06:51.960019
88,1,sensorVigilant1,0,2022-09-11 22:06:53.094201
89,1,sensorVigilant1,0,2022-09-11 22:06:54.206405
90,0,SensorVigilant1,1,2022-09-11 22:06:55.326731
91,1,sensorVigilant1,0,2022-09-11 22:06:56.438116
92,1,sensorVigilant1,0,2022-09-11 22:06:57.549858
93,1,sensorVigilant1,0,2022-09-11 22:06:58.671781
94,1,sensorVigilant1,0,2022-09-11 22:06:59.805077
95,1,sensorVigilant1,0,2022-09-11 22:07:00.971812
96,1,sensorVigilant1,0,2022-09-11 22:07:02.129203
97,1,sensorVigilant1,0,2022-09-11 22:07:03.295708
