id,respuesta,servicio_monitoreado,reportada,time_log
1,1,sensorVigilant1,0,2022-09-11 21:56:48.808167
2,1,sensorVigilant1,0,2022-09-11 21:56:49.953084
3,0,SensorVigilant1,1,2022-09-11 21:56:51.083706
4,1,sensorVigilant1,0,2022-09-11 21:56:52.205757
5,1,sensorVigilant1,0,2022-09-11 21:56:53.350379
6,1,sensorVigilant1,0,2022-09-11 21:56:54.538962
7,1,sensorVigilant1,0,2022-09-11 21:56:55.661080
8,1,sensorVigilant1,0,2022-09-11 21:56:56.795542
9,1,sensorVigilant1,0,2022-09-11 21:56:57.961261
10,1,sensorVigilant1,0,2022-09-11 21:56:59.095954
11,0,SensorVigilant1,1,2022-09-11 21:57:00.239970
12,1,sensorVigilant1,0,2022-09-11 21:57:01.405932
13,1,sensorVigilant1,0,2022-09-11 21:57:02.594963
14,1,sensorVigilant1,0,2022-09-11 21:57:03.728583
15,1,sensorVigilant1,0,2022-09-11 21:57:04.883668
16,1,sensorVigilant1,0,2022-09-11 21:57:06.006883
17,1,sensorVigilant1,0,2022-09-11 21:57:07.139968
18,1,sensorVigilant1,0,2022-09-11 21:57:08.296190
19,1,sensorVigilant1,0,2022-09-11 21:57:09.450963
20,1,sensorVigilant1,0,2022-09-11 21:57:10.585864
21,1,sensorVigilant1,0,2022-09-11 21:57:11.685652
22,1,sensorVigilant1,0,2022-09-11 21:57:12.806111
23,1,sensorVigilant1,0,2022-09-11 21:57:13.917970
24,1,sensorVigilant1,0,2022-09-11 21:57:15.062711
25,1,sensorVigilant1,0,2022-09-11 21:57:16.184656
26,1,sensorVigilant1,0,2022-09-11 21:57:17.340262
27,1,sensorVigilant1,0,2022-09-11 21:57:18.473740
28,1,sensorVigilant1,0,2022-09-11 21:57:19.601703
29,1,sensorVigilant1,0,2022-09-11 21:57:20.718432
30,1,sensorVigilant1,0,2022-09-11 21:57:21.835649
31,1,sensorVigilant1,0,2022-09-11 21:57:22.980769
32,1,sensorVigilant1,0,2022-09-11 21:57:24.106791
33,1,sensorVigilant1,0,2022-09-11 21:57:25.262456
34,1,sensorVigilant1,0,2022-09-11 21:57:26.407301
35,1,sensorVigilant1,0,2022-09-11 21:57:27.532251
36,1,sensorVigilant1,0,2022-09-11 21:57:28.681290
37,1,sensorVigilant1,0,2022-09-11 21:57:29.840615
38,1,sensorVigilant1,0,2022-09-11 21:57:30.952376
39,0,SensorVigilant1,1,2022-09-11 21:57:32.103600
40,1,sensorVigilant1,0,2022-09-11 21:57:33.263090
41,1,sensorVigilant1,0,2022-09-11 21:57:34.408475
42,1,sensorVigilant1,0,2022-09-11 21:57:35.530960
43,1,sensorVigilant1,0,2022-09-11 21:57:36.685529
44,1,sensorVigilant1,0,2022-09-11 21:57:37.818787
45,1,sensorVigilant1,0,2022-09-11 21:57:38.947954
46,1,sensorVigilant1,0,2022-09-11 21:57:40.063638
47,1,sensorVigilant1,0,2022-09-11 21:57:41.219571
48,1,sensorVigilant1,0,2022-09-11 21:57:42.370672
49,1,sensorVigilant1,0,2022-09-11 21:57:43.484838
50,1,sensorVigilant1,0,2022-09-11 21:57:44.607980
51,1,sensorVigilant1,0,2022-09-11 21:57:45.774887
52,1,sensorVigilant1,0,2022-09-11 21:57:46.888472
53,1,sensorVigilant1,0,2022-09-11 21:57:48.030384
54,1,sensorVigilant1,0,2022-09-11 21:57:49.152978
55,1,sensorVigilant1,0,2022-09-11 21:57:50.324491
56,1,sensorVigilant1,0,2022-09-11 21:57:51.475374
57,1,sensorVigilant1,0,2022-09-11 21:57:52.626512
58,1,sensorVigilant1,0,2022-09-11 21:57:53.753485
59,1,sensorVigilant1,0,2022-09-11 21:57:54.936994
60,1,sensorVigilant1,0,2022-09-11 21:57:56.076457
61,0,SensorVigilant1,1,2022-09-11 21:57:57.214871
62,1,sensorVigilant1,0,2022-09-11 21:57:58.364115
63,1,sensorVigilant1,0,2022-09-11 21:57:59.508517
64,1,sensorVigilant1,0,2022-09-11 21:58:00.824957
65,0,SensorVigilant1,1,2022-09-11 21:58:01.941782
66,1,sensorVigilant1,0,2022-09-11 21:58:03.063408
67,1,sensorVigilant1,0,2022-09-11 21:58:04.174514
68,1,sensorVigilant1,0,2022-09-11 21:58:05.298031
69,1,sensorVigilant1,0,2022-09-11 21:58:06.418578
70,1,sensorVigilant1,0,2022-09-11 21:58:07.564435
71,1,sensorVigilant1,0,2022-09-11 21:58:08.775434
72,1,sensorVigilant1,0,2022-09-11 21:58:09.908194
73,1,sensorVigilant1,0,2022-09-11 21:58:11.075975
74,1,sensorVigilant1,0,2022-09-11 21:58:12.209353
75,1,sensorVigilant1,0,2022-09-11 21:58:13.320577
76,1,sensorVigilant1,0,2022-09-11 21:58:14.442423
77,1,sensorVigilant1,0,2022-09-11 21:58:15.587483
78,1,sensorVigilant1,0,2022-09-11 21:58:16.731041
79,1,sensorVigilant1,0,2022-09-11 21:58:17.889290
80,1,sensorVigilant1,0,2022-09-11 21:58:19.064468
81,1,sensorVigilant1,0,2022-09-11 21:58:20.207744
82,1,sensorVigilant1,0,2022-09-11 21:58:21.368364
83,1,sensorVigilant1,0,2022-09-11 21:58:22.487796
84,1,sensorVigilant1,0,2022-09-11 21:58:23.630575
85,1,sensorVigilant1,0,2022-09-11 21:58:24.765033
86,1,sensorVigilant1,0,2022-09-11 21:58:25.899385
87,1,sensorVigilant1,0,2022-09-11 21:58:27.019677
88,1,sensorVigilant1,0,2022-09-11 21:58:28.142917
89,1,sensorVigilant1,0,2022-09-11 21:58:29.320737
90,1,sensorVigilant1,0,2022-09-11 21:58:30.454921
91,0,SensorVigilant1,1,2022-09-11 21:58:31.587482
92,1,sensorVigilant1,0,2022-09-11 21:58:32.709687
93,1,sensorVigilant1,0,2022-09-11 21:58:33.854365
94,1,sensorVigilant1,0,2022-09-11 21:58:34.998690
95,1,sensorVigilant1,0,2022-09-11 21:58:36.131905
96,0,SensorVigilant1,1,2022-09-11 21:58:37.293885
97,1,sensorVigilant1,0,2022-09-11 21:58:38.410056
98,1,sensorVigilant1,0,2022-09-11 21:58:39.507835
99,1,sensorVigilant1,0,2022-09-11 21:58:40.631335
100,1,sensorVigilant1,0,2022-09-11 21:58:41.765569
101,0,SensorVigilant1,1,2022-09-11 21:58:42.889069
102,1,sensorVigilant1,0,2022-09-11 21:58:44.024315
103,1,sensorVigilant1,0,2022-09-11 21:58:45.180495
104,1,sensorVigilant1,0,2022-09-11 21:58:46.299827
105,1,sensorVigilant1,0,2022-09-11 21:58:47.454078
106,1,sensorVigilant1,0,2022-09-11 21:58:48.567511
107,1,sensorVigilant1,0,2022-09-11 21:58:49.699368
108,1,sensorVigilant1,0,2022-09-11 21:58:50.831427
109,1,sensorVigilant1,0,2022-09-11 21:58:51.987523
110,1,sensorVigilant1,0,2022-09-11 21:58:53.110798
111,0,SensorVigilant1,1,2022-09-11 21:58:54.292119
112,1,sensorVigilant1,0,2022-09-11 21:58:55.449105
113,1,sensorVigilant1,0,2022-09-11 21:58:56.570323
114,1,sensorVigilant1,0,2022-09-11 21:58:57.771663
115,1,sensorVigilant1,0,2022-09-11 21:58:58.960624
116,1,sensorVigilant1,0,2022-09-11 21:59:00.087883
117,0,SensorVigilant1,1,2022-09-11 21:59:01.302697
118,1,sensorVigilant1,0,2022-09-11 21:59:02.487686
119,1,sensorVigilant1,0,2022-09-11 21:59:03.610651
120,1,sensorVigilant1,0,2022-09-11 21:59:04.734114
121,1,sensorVigilant1,0,2022-09-11 21:59:05.906734
122,1,sensorVigilant1,0,2022-09-11 21:59:07.039462
123,1,sensorVigilant1,0,2022-09-11 21:59:08.178455
124,1,sensorVigilant1,0,2022-09-11 21:59:09.306341
125,1,sensorVigilant1,0,2022-09-11 21:59:10.444607
126,1,sensorVigilant1,0,2022-09-11 21:59:11.600414
127,1,sensorVigilant1,0,2022-09-11 21:59:12.711886
128,1,sensorVigilant1,0,2022-09-11 21:59:13.834090
129,0,SensorVigilant1,1,2022-09-11 21:59:14.992965
130,1,sensorVigilant1,0,2022-09-11 21:59:16.155518
131,1,sensorVigilant1,0,2022-09-11 21:59:17.257343
132,1,sensorVigilant1,0,2022-09-11 21:59:18.400506
133,1,sensorVigilant1,0,2022-09-11 21:59:19.545109
134,1,sensorVigilant1,0,2022-09-11 21:59:20.694548
135,1,sensorVigilant1,0,2022-09-11 21:59:21.845513
136,1,sensorVigilant1,0,2022-09-11 21:59:22.970575
137,1,sensorVigilant1,0,2022-09-11 21:59:24.113926
138,1,sensorVigilant1,0,2022-09-11 21:59:25.263150
139,1,sensorVigilant1,0,2022-09-11 21:59:26.389865
140,1,sensorVigilant1,0,2022-09-11 21:59:27.521313
141,1,sensorVigilant1,0,2022-09-11 21:59:28.659214
142,1,sensorVigilant1,0,2022-09-11 21:59:29.789684
143,1,sensorVigilant1,0,2022-09-11 21:59:30.947721
144,1,sensorVigilant1,0,2022-09-11 21:59:32.066128
145,0,SensorVigilant1,1,2022-09-11 21:59:33.235481
146,1,sensorVigilant1,0,2022-09-11 21:59:34.400278
147,1,sensorVigilant1,0,2022-09-11 21:59:35.546074
148,1,sensorVigilant1,0,2022-09-11 21:59:36.688919
149,1,sensorVigilant1,0,2022-09-11 21:59:37.844559
150,1,sensorVigilant1,0,2022-09-11 21:59:38.968578
151,1,sensorVigilant1,0,2022-09-11 21:59:40.146596
152,1,sensorVigilant1,0,2022-09-11 21:59:41.322266
153,0,SensorVigilant1,0,2022-09-11 21:59:42.478439
